Model,Make,Model,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel,Fuel_Consumption,,CO2_Emissions,CO2,Smog
2023,Acura,Integra,Full-size,1.5,4,AV7,Z,7.9,6.3,167,6,7
2023,Acura,Integra A-SPEC,Full-size,1.5,4,AV7,Z,8.1,6.5,172,6,7
2023,Acura,Integra A-SPEC,Full-size,1.5,4,M6,Z,8.9,6.5,181,6,6
2023,Acura,MDX SH-AWD,SUV: Small,3.5,6,AS10,Z,12.6,9.4,263,4,5
2023,Acura,MDX SH-AWD Type S,SUV: Standard,3,6,AS10,Z,13.8,11.2,291,4,5
2023,Acura,RDX SH-AWD,SUV: Small,2,4,AS10,Z,11,8.6,232,5,6
2023,Acura,RDX SH-AWD A-SPEC,SUV: Small,2,4,AS10,Z,11.3,9.1,242,5,6
2023,Acura,TLX SH-AWD,Compact,2,4,AS10,Z,11.2,8,230,5,7
2023,Acura,TLX SH-AWD A-SPEC,Compact,2,4,AS10,Z,11.3,8.1,231,5,7
2023,Acura,TLX Type S,Compact,3,6,AS10,Z,12.3,9.4,256,5,5
2023,Alfa Romeo,Giulia,Mid-size,2,4,A8,Z,10,7.2,205,5,5
2023,Alfa Romeo,Giulia AWD,Mid-size,2,4,A8,Z,10.5,7.7,217,5,5
2023,Alfa Romeo,Giulia Quadrifoglio,Mid-size,2.9,6,A8,Z,13.5,9.3,271,4,3
2023,Alfa Romeo,Stelvio,SUV: Small,2,4,A8,Z,10.3,8.1,218,5,5
2023,Alfa Romeo,Stelvio AWD,SUV: Small,2,4,A8,Z,10.8,8.3,226,5,5
2023,Alfa Romeo,Stelvio AWD Quadrifoglio,SUV: Small,2.9,6,A8,Z,13.9,10.3,288,4,3
2023,Alfa Romeo,Tonale AWD,SUV: Small,2,4,A9,X,11.2,8.2,231,5,7
2023,Aston Martin,DB11 V8,Minicompact,4,8,A8,Z,13,9.8,271,4,5
2023,Aston Martin,DB11 V12,Minicompact,5.2,12,A8,Z,16.4,10.7,324,3,3
2023,Aston Martin,DBS V12,Minicompact,5.2,12,A8,Z,16.4,10.7,324,3,3
2023,Aston Martin,DBX V8,SUV: Standard,4,8,A9,Z,16.8,11.9,343,3,5
2023,Aston Martin,DBX707,SUV: Standard,4,8,A9,Z,15.7,12,329,3,5
2023,Aston Martin,Vantage V8,Two-seater,4,8,A8,Z,13.1,9.6,270,4,5
2023,Aston Martin,V12 Vantage,Two-seater,5.2,12,A8,Z,17.2,10.8,337,3,3
2023,Audi,A3 40 TFSI quattro,Subcompact,2,4,AM7,X,8.7,6.8,183,6,7
2023,Audi,A4 Sedan 45 TFSI quattro,Compact,2,4,AM7,Z,9.7,7.4,203,5,5
2023,Audi,A4 allroad 45 TFSI quattro,Station wagon: Small,2,4,AM7,Z,10.1,7.9,214,5,5
2023,Audi,A5 Cabriolet 45 TFSI quattro,Subcompact,2,4,AM7,Z,9.9,7.6,208,5,5
2023,Audi,A5 Coupé 45 TFSI quattro,Subcompact,2,4,AM7,Z,9.7,7.4,203,5,5
2023,Audi,A5 Sportback 45 TFSI quattro,Mid-size,2,4,AM7,Z,9.7,7.4,203,5,5
2023,Audi,A6 45 TFSI quattro,Mid-size,2,4,AM7,Z,10,7.5,207,5,5
2023,Audi,A6 55 TFSI quattro,Mid-size,3,6,AM7,Z,11.1,7.8,224,5,5
2023,Audi,A6 allroad 55 TFSI quattro,Station wagon: Mid-size,3,6,AM7,Z,11.1,7.8,224,5,5
2023,Audi,A7 Sportback 55 TFSI quattro,Mid-size,3,6,AM7,Z,11.1,7.8,224,5,5
2023,Audi,A8 L Sedan 55 TFSI quattro,Full-size,3,6,AS8,Z,12.5,8.3,247,5,5
2023,Audi,Q3 40 TFSI quattro,SUV: Small,2,4,AS8,X,10.9,8,224,5,6
2023,Audi,Q3 45 TFSI quattro,SUV: Small,2,4,AS8,X,11.2,8.4,233,5,7
2023,Audi,Q5 40 TFSI quattro,SUV: Small,2,4,AM7,Z,10.2,8.2,217,5,1
2023,Audi,Q5 45 TFSI quattro,SUV: Small,2,4,AM7,Z,10.6,8.2,223,5,5
2023,Audi,Q5 Sportback 45 TFSI quattro,SUV: Small,2,4,AM7,Z,10.6,8.2,223,5,5
2023,Audi,Q7 45 TFSI quattro,SUV: Standard,2,4,AS8,Z,12.2,9.5,257,4,5
2023,Audi,Q7 55 TFSI quattro,SUV: Standard,3,6,AS8,Z,12.9,10.9,281,4,5
2023,Audi,Q8 55 TFSI quattro,SUV: Standard,3,6,AS8,Z,12.8,10.4,273,4,5
2023,Audi,R8 Coupé Performance,Two-seater,5.2,10,AM7,Z,16.6,10.2,320,3,1
2023,Audi,R8 Coupé Performance quattro,Two-seater,5.2,10,AM7,Z,17.7,12.8,361,2,1
2023,Audi,R8 Spyder Performance,Two-seater,5.2,10,AM7,Z,16.6,10.2,320,3,1
2023,Audi,R8 Spyder Performance quattro,Two-seater,5.2,10,AM7,Z,17.7,12.8,361,2,1
2023,Audi,R8 GT Coupé,Two-seater,5.2,10,AM7,Z,16.2,11.2,328,3,1
2023,Audi,RS 5 Coupé quattro,Subcompact,2.9,6,AS8,Z,13.2,9.2,266,4,5
2023,Audi,RS 5 Sportback quattro,Mid-size,2.9,6,AS8,Z,13.2,9.3,267,4,5
2023,Audi,RS 6 Avant quattro,Station wagon: Mid-size,4,8,AS8,Z,16.4,11.1,328,3,3
2023,Audi,RS 7 Sportback quattro,Mid-size,4,8,AS8,Z,16.4,11.1,328,3,3
2023,Audi,RS Q8 quattro,SUV: Standard,4,8,AS8,Z,17.5,11.9,349,3,3
2023,Audi,S3 quattro,Subcompact,2,4,AM7,Z,10.2,7.3,207,5,5
2023,Audi,S4 Sedan quattro,Compact,3,6,AS8,Z,11.1,8,226,5,5
2023,Audi,S5 Cabriolet quattro,Subcompact,3,6,AS8,Z,11.3,8.4,233,5,5
2023,Audi,S5 Coupé quattro,Subcompact,3,6,AS8,Z,11.1,8,226,5,5
2023,Audi,S5 Sportback quattro,Mid-size,3,6,AS8,Z,11.1,8,226,5,5
2023,Audi,S6 quattro,Mid-size,2.9,6,AS8,Z,12.3,9,254,5,5
2023,Audi,S7 quattro,Mid-size,2.9,6,AS8,Z,12.3,9,254,5,5
2023,Audi,S8 Sedan quattro,Full-size,4,8,AS8,Z,15.9,10.3,313,4,3
2023,Audi,SQ5 quattro,SUV: Small,3,6,AS8,Z,12.5,9.7,262,4,5
2023,Audi,SQ5 Sportback quattro,SUV: Small,3,6,AS8,Z,12.5,9.7,262,4,5
2023,Audi,SQ7 quattro,SUV: Standard,4,8,AS8,Z,16.1,11.3,325,3,3
2023,Audi,SQ8 quattro,SUV: Standard,4,8,AS8,Z,16.1,11.3,325,3,3
2023,Audi,TT Coupé 45 TFSI quattro,Subcompact,2,4,AM7,X,10.5,8,221,5,7
2023,Audi,TT Roadster 45 TFSI quattro,Two-seater,2,4,AM7,X,10.5,8,221,5,7
2023,Audi,TTS Coupé quattro,Subcompact,2,4,AM7,Z,10,7.7,209,5,3
2023,Bentley,Bentayga,SUV: Standard,4,8,AS8,Z,16.2,11.2,328,3,3
2023,Bentley,Bentayga EWB,SUV: Standard,4,8,AS8,Z,16.2,11.2,328,3,3
2023,Bentley,Bentayga Speed,SUV: Standard,6,12,AS8,Z,19.3,12.7,383,2,3
2023,Bentley,Continental GT,Subcompact,4,8,AM8,Z,15.3,10.4,307,4,3
2023,Bentley,Continental GT Speed,Subcompact,6,12,AM8,Z,19.6,12,379,2,3
2023,Bentley,Continental GTC,Minicompact,4,8,AM8,Z,15.8,10.5,315,4,3
2023,Bentley,Continental GTC Speed,Minicompact,6,12,AM8,Z,20.3,12.9,395,2,3
2023,Bentley,Flying Spur,Mid-size,4,8,AM8,Z,15.9,10.8,319,3,3
2023,Bentley,Flying Spur Speed,Mid-size,6,12,AM8,Z,19.2,12.2,373,2,3
2023,BMW,230i xDrive Coupe,Subcompact,2,4,AS8,Z,9.6,6.9,195,6,3
2023,BMW,330i xDrive Sedan,Compact,2,4,AS8,Z,9.8,7,200,6,7
2023,BMW,430i xDrive Cabriolet,Subcompact,2,4,AS8,Z,10.1,7.1,203,5,7
2023,BMW,430i xDrive Coupe,Subcompact,2,4,AS8,Z,10.1,7.1,203,5,7
2023,BMW,530i xDrive Sedan,Mid-size,2,4,AS8,Z,10.1,7.5,206,5,7
2023,BMW,540i xDrive Sedan,Mid-size,3,6,AS8,Z,10.5,8.1,219,5,5
2023,BMW,760i xDrive Sedan,Full-size,4.4,8,AS8,Z,13,9.1,261,4,5
2023,BMW,ALPINA B8 Gran Coupe,Mid-size,4.4,8,AS8,Z,14.1,9.9,284,4,3
